Author               | Score  | Files | Issues
hernandez            | 50.0   | 14    | missing_h1
jma                  | 50.0   | 24    | missing_h1
lt                   | 50.0   | 4     | missing_h1
manuel               | 50.0   | 28    | missing_h1
marti                | 50.0   | 6     | missing_h1
mieses               | 50.0   | 2     | missing_h1
ow                   | 50.0   | 13    | missing_h1
quiroga              | 50.0   | 43    | missing_h1
skarmeta             | 50.0   | 15    | missing_h1
tm                   | 50.0   | 17    | missing_h1
